term,cf,df,offset
337,1,1,3478
34,16,14,3479
346,23,23,3493
35,9,9,3516
3500,6,6,3525
350000,2,2,3531
350ampadd,2,1,3533
356,1,1,3534
36,8,8,3535
3600,1,1,3543
364,1,1,3544
365ampadd,2,1,3545
37,4,4,3546
370,2,2,3550
37000,9,9,3552
372,1,1,3561
374,1,1,3562
38,11,11,3563
380ampad,1,1,3574
380ampadd,1,1,3575
385,6,6,3576
38th,1,1,3582
39,6,5,3583
395,1,1,3588
396,6,6,3589
3com,18,2,3595
3nd,2,1,3597
3ndld,1,1,3598
3rd,27,16,3599
3rdld,10,10,3615
40,43,37,3625
400,28,23,3662
4000,6,6,3685
40000,4,3,3691
400000,4,4,3694
400amp,1,1,3698
400ampadd,3,2,3699
403,1,1,3701
40th,1,1,3702
41,7,7,3703
411,2,2,3710
415,1,1,3712
42,12,9,3713
4204,3,3,3722
420ampa,1,1,3725
420ampadd,1,1,3726
43,7,7,3727
430,1,1,3734
430ampadd,1,1,3735
435000,5,5,3736
438,1,1,3741
44,9,9,3742
440,1,1,3751
440ampadd,3,3,3752
447,2,2,3755
44th,1,1,3757
45,14,13,3758
4500,1,1,3771
4570,2,2,3772
46,3,3,3774
460ampad,1,1,3777
460ampadd,1,1,3778
47,20,15,3779
470,2,2,3794
48,12,12,3796
480ampadd,2,1,3808
49,7,7,3809
4rd,2,1,3816
4rdld,1,1,3817
4th,27,16,3818
4thld,10,10,3834
50,43,36,3844
500,12,11,3880
5000,10,8,3891
50000,3,3,3899
500000,3,2,3902
500ampadd,2,1,3904
50th,2,2,3905
51,12,12,3907
513,1,1,3919
52,4,4,3920
524,1,1,3924
53,1,1,3925
54,7,7,3926
5400,1,1,3933
540ampad,1,1,3934
540ampadd,1,1,3935
545ampadd,2,1,3936
55,10,10,3937
550,3,3,3947
556,3,3,3950
558,2,2,3953
55ptempel,2,2,3955
55ptemple,2,2,3957
56,10,8,3959
56000,1,1,3967
560ampadd,2,1,3968
566,2,2,3969
57,7,6,3971
570,1,1,3977
570ampad,1,1,3978
570ampadd,1,1,3979
570f,1,1,3980
58,2,1,3981
59,3,3,3982
592,1,1,3985
596,1,1,3986
5th,15,11,3987
5thld,3,3,3998
60,38,26,4001
600,13,12,4027
6000,3,3,4039
60000,3,3,4042
600000,1,1,4045
6002take,2,2,4046
603,25,25,4048
604,2,2,4073
61,3,3,4075
62,11,10,4078
620ampadd,1,1,4088
63,1,1,4089
64,6,6,4090
6435,2,2,4096
65,9,9,4098
65000,1,1,4107
650000,1,1,4108
66,2,2,4109
660ampa,1,1,4111
660ampadd,1,1,4112
663,1,1,4113
665ampadd,4,2,4114
67,3,3,4116
6700,1,1,4119
6702take,1,1,4120
